sale_id,project_name,sale_amount,sale_date
1,Palm Residency,2926887,2019-12-05 00:00:00
2,Palm Residency,6334096,2022-08-21 00:00:00
3,Skyline Heights,3314817,2019-01-12 00:00:00
4,Green Valley Towers,3186221,2021-11-16 00:00:00
5,City Center Plaza,5843706,2020-04-12 00:00:00
6,Ocean View Residency,4600305,2020-01-05 00:00:00
7,Skyline Heights,3961723,2019-05-21 00:00:00
8,Green Valley Towers,5387415,2021-02-06 00:00:00
9,Ocean View Residency,4196105,2022-12-07 00:00:00
10,Palm Residency,2077586,2021-11-11 00:00:00
11,Sunset Boulevard,2237775,2018-07-02 00:00:00
12,City Center Plaza,7375302,2023-01-15 00:00:00
13,Skyline Heights,2330930,2021-06-18 00:00:00
14,Palm Residency,5934967,2022-01-08 00:00:00
15,Sunset Boulevard,3473237,2019-11-13 00:00:00
16,Ocean View Residency,4484848,2022-03-13 00:00:00
17,Sunset Boulevard,2745608,2021-08-24 00:00:00
18,City Center Plaza,5603504,2020-03-20 00:00:00
19,Green Valley Towers,4356805,2018-07-02 00:00:00
20,Palm Residency,4086540,2018-07-05 00:00:00
21,Green Valley Towers,5737797,2018-07-05 00:00:00
22,Green Valley Towers,6093788,2019-08-21 00:00:00
23,City Center Plaza,5075029,2019-11-24 00:00:00
24,City Center Plaza,2993984,2020-05-08 00:00:00
25,City Center Plaza,4901436,2023-09-16 00:00:00
26,Palm Residency,2347461,2020-08-30 00:00:00
27,Green Valley Towers,7106714,2021-04-07 00:00:00
28,Skyline Heights,3842486,2021-03-29 00:00:00
29,Palm Residency,5710161,2021-07-15 00:00:00
30,Ocean View Residency,2131529,2023-03-29 00:00:00
31,Green Valley Towers,2784146,2020-09-09 00:00:00
32,Ocean View Residency,3310907,2021-07-04 00:00:00
33,City Center Plaza,3540660,2018-01-12 00:00:00
34,Ocean View Residency,5024688,2020-01-15 00:00:00
35,Palm Residency,6415450,2021-04-25 00:00:00
36,Ocean View Residency,6052667,2019-02-02 00:00:00
37,Green Valley Towers,6615630,2023-07-29 00:00:00
38,Ocean View Residency,1727652,2019-06-12 00:00:00
39,City Center Plaza,4035044,2021-09-19 00:00:00
40,Ocean View Residency,7007719,2019-05-06 00:00:00
41,Green Valley Towers,7383219,2022-12-21 00:00:00
42,Sunset Boulevard,4513323,2018-02-18 00:00:00
43,Sunset Boulevard,2739924,2023-02-22 00:00:00
44,Green Valley Towers,5886090,2018-10-27 00:00:00
45,Skyline Heights,6272804,2019-06-08 00:00:00
46,Ocean View Residency,1719512,2023-07-24 00:00:00
47,Sunset Boulevard,2977512,2019-06-04 00:00:00
48,City Center Plaza,3820716,2018-11-05 00:00:00
49,Palm Residency,6885173,2022-05-18 00:00:00
50,Ocean View Residency,2286892,2019-04-03 00:00:00
51,Sunset Boulevard,3794095,2022-08-02 00:00:00
52,Ocean View Residency,3949191,2018-06-21 00:00:00
53,Green Valley Towers,1840185,2020-10-04 00:00:00
54,Sunset Boulevard,4985486,2020-10-05 00:00:00
55,Palm Residency,1451021,2021-12-04 00:00:00
56,City Center Plaza,7133923,2021-02-21 00:00:00
57,Ocean View Residency,2836453,2019-01-31 00:00:00
58,Skyline Heights,3142882,2022-10-18 00:00:00
59,Sunset Boulevard,6187600,2022-08-30 00:00:00
60,City Center Plaza,6554863,2018-10-13 00:00:00
61,Ocean View Residency,7008980,2023-07-13 00:00:00
62,Ocean View Residency,3485378,2021-02-07 00:00:00
63,Skyline Heights,7027268,2022-05-31 00:00:00
64,City Center Plaza,6588283,2020-06-19 00:00:00
65,Ocean View Residency,5979845,2023-01-03 00:00:00
66,City Center Plaza,5564563,2020-06-08 00:00:00
67,City Center Plaza,2019769,2023-12-03 00:00:00
68,Ocean View Residency,2530362,2022-07-14 00:00:00
69,Skyline Heights,2662124,2023-06-02 00:00:00
70,Skyline Heights,5153514,2023-04-03 00:00:00
71,Green Valley Towers,2615439,2023-09-09 00:00:00
72,Green Valley Towers,5202310,2020-08-31 00:00:00
73,Palm Residency,2976030,2022-06-27 00:00:00
74,Palm Residency,3686775,2021-12-16 00:00:00
75,Palm Residency,3440473,2020-07-29 00:00:00
76,Palm Residency,7498877,2023-01-09 00:00:00
77,Green Valley Towers,5246955,2018-06-19 00:00:00
78,Sunset Boulevard,5625241,2021-06-10 00:00:00
79,Sunset Boulevard,4586681,2022-09-29 00:00:00
80,Green Valley Towers,4017359,2018-09-20 00:00:00
