project_name,progress_percent,update_date
Sunset Boulevard,54,2025-12-25 11:13:02.042836
Green Valley Towers,63,2025-07-23 11:13:02.042846
City Center Plaza,34,2025-12-07 11:13:02.042849
Ocean View Residency,52,2025-11-04 11:13:02.042850
Palm Residency,17,2025-04-22 11:13:02.042852
Sunset Boulevard,28,2025-07-25 11:13:02.042854
Green Valley Towers,13,2025-09-22 11:13:02.042856
Palm Residency,27,2025-07-23 11:13:02.042858
Green Valley Towers,28,2026-01-11 11:13:02.042860
Palm Residency,69,2025-05-25 11:13:02.042862
Sunset Boulevard,97,2025-05-23 11:13:02.042864
Sunset Boulevard,46,2025-08-26 11:13:02.042866
City Center Plaza,76,2025-10-22 11:13:02.042867
Ocean View Residency,80,2025-11-12 11:13:02.042869
Palm Residency,44,2025-12-16 11:13:02.042870
Green Valley Towers,58,2025-09-07 11:13:02.042872
Palm Residency,90,2025-12-24 11:13:02.042873
Sunset Boulevard,53,2025-10-28 11:13:02.042875
Green Valley Towers,43,2025-04-14 11:13:02.042876
Sunset Boulevard,61,2025-07-05 11:13:02.042878
Palm Residency,31,2025-12-14 11:13:02.042880
Skyline Heights,30,2025-11-10 11:13:02.042881
Sunset Boulevard,46,2025-07-11 11:13:02.042883
Green Valley Towers,11,2025-12-11 11:13:02.042884
Green Valley Towers,71,2025-09-26 11:13:02.042886
City Center Plaza,84,2025-12-02 11:13:02.042887
Skyline Heights,23,2025-11-20 11:13:02.042889
Green Valley Towers,73,2026-01-08 11:13:02.042890
Skyline Heights,31,2025-06-07 11:13:02.042892
Sunset Boulevard,47,2025-07-27 11:13:02.042893
City Center Plaza,43,2025-06-10 11:13:02.042895
Palm Residency,23,2025-10-28 11:13:02.042897
Ocean View Residency,97,2025-08-10 11:13:02.042898
Sunset Boulevard,41,2025-10-11 11:13:02.042900
Palm Residency,22,2025-09-10 11:13:02.042901
Ocean View Residency,74,2025-09-19 11:13:02.042903
Green Valley Towers,32,2025-08-22 11:13:02.042904
Ocean View Residency,51,2025-11-07 11:13:02.042906
Green Valley Towers,17,2025-04-07 11:13:02.042907
City Center Plaza,87,2025-08-14 11:13:02.042909
Palm Residency,20,2025-12-06 11:13:02.042910
City Center Plaza,25,2025-04-21 11:13:02.042912
Green Valley Towers,47,2025-07-03 11:13:02.042913
Sunset Boulevard,57,2025-06-23 11:13:02.042915
Sunset Boulevard,37,2025-09-22 11:13:02.042916
Ocean View Residency,48,2025-11-04 11:13:02.042918
Ocean View Residency,48,2025-05-25 11:13:02.042919
Sunset Boulevard,87,2025-10-16 11:13:02.042921
Green Valley Towers,83,2025-08-15 11:13:02.042922
Green Valley Towers,34,2025-06-25 11:13:02.042924
Sunset Boulevard,20,2025-07-05 11:13:02.042925
Green Valley Towers,82,2025-08-14 11:13:02.042927
Sunset Boulevard,47,2025-03-26 11:13:02.042928
Sunset Boulevard,70,2025-04-17 11:13:02.042930
Green Valley Towers,32,2025-11-18 11:13:02.042931
Ocean View Residency,96,2025-09-14 11:13:02.042933
Green Valley Towers,78,2025-04-16 11:13:02.042935
Skyline Heights,30,2025-09-08 11:13:02.042936
Skyline Heights,36,2025-05-19 11:13:02.042938
Sunset Boulevard,84,2025-04-08 11:13:02.042940
Green Valley Towers,85,2025-08-15 11:13:02.042941
Palm Residency,81,2026-01-13 11:13:02.042943
Palm Residency,94,2025-05-21 11:13:02.042944
Skyline Heights,16,2025-11-26 11:13:02.042945
Ocean View Residency,41,2025-07-01 11:13:02.042947
